# xp yp zp Bx By Bz
# 10251 6
# 201 1 51 6
 0.00000000e+00  0.00000000e+00 -1.00000000e-01  0.00000000e+00  0.00000000e+00 -1.43982500e-02
 2.00000000e-03  0.00000000e+00 -1.00000000e-01 -9.31628500e-04  0.00000000e+00 -1.38783600e-02
 4.00000000e-03  0.00000000e+00 -1.00000000e-01  3.91688700e-05  0.00000000e+00 -1.05391300e-02
 6.00000000e-03  0.00000000e+00 -1.00000000e-01 -5.29788100e-04  0.00000000e+00 -1.07657100e-02
 8.00000000e-03  0.00000000e+00 -1.00000000e-01  5.88743300e-05  0.00000000e+00 -7.23111200e-03
 1.00000000e-02  0.00000000e+00 -1.00000000e-01  6.05289700e-05  0.00000000e+00 -5.50430800e-03
 1.20000000e-02  0.00000000e+00 -1.00000000e-01  5.75027100e-05  0.00000000e+00 -3.96093700e-03
 1.40000000e-02  0.00000000e+00 -1.00000000e-01  5.07661900e-05  0.00000000e+00 -3.00236600e-03
 1.60000000e-02  0.00000000e+00 -1.00000000e-01  4.83191200e-05  0.00000000e+00 -2.07524500e-03
 1.80000000e-02  0.00000000e+00 -1.00000000e-01  4.44770300e-05  0.00000000e+00 -1.35577400e-03
 2.00000000e-02  0.00000000e+00 -1.00000000e-01  3.84393600e-05  0.00000000e+00 -1.17112800e-03
 2.20000000e-02  0.00000000e+00 -1.00000000e-01  3.68007400e-05  0.00000000e+00 -7.58918400e-04
 2.40000000e-02  0.00000000e+00 -1.00000000e-01  3.48058900e-05  0.00000000e+00 -4.76501800e-04
 2.60000000e-02  0.00000000e+00 -1.00000000e-01  3.29725300e-05  0.00000000e+00 -3.09212400e-04
 2.80000000e-02  0.00000000e+00 -1.00000000e-01  2.97681100e-05  0.00000000e+00 -2.76958500e-04
 3.00000000e-02  0.00000000e+00 -1.00000000e-01  2.90066000e-05  0.00000000e+00 -1.76034200e-04
 3.20000000e-02  0.00000000e+00 -1.00000000e-01  2.83211200e-05  0.00000000e+00 -1.30514000e-04
 3.40000000e-02  0.00000000e+00 -1.00000000e-01  2.56502400e-05  0.00000000e+00 -1.04744400e-04
 3.60000000e-02  0.00000000e+00 -1.00000000e-01  2.54045500e-05  0.00000000e+00 -6.98914100e-05
 3.80000000e-02  0.00000000e+00 -1.00000000e-01  2.51754100e-05  0.00000000e+00 -6.21841700e-05
 4.00000000e-02  0.00000000e+00 -1.00000000e-01  2.31726000e-05  0.00000000e+00 -4.45322500e-05
 4.20000000e-02  0.00000000e+00 -1.00000000e-01  2.30911400e-05  0.00000000e+00 -3.17585800e-05
 4.40000000e-02  0.00000000e+00 -1.00000000e-01  2.30047600e-05  0.00000000e+00 -3.31066300e-05
 4.60000000e-02  0.00000000e+00 -1.00000000e-01  2.16101200e-05  0.00000000e+00 -2.30045100e-05
 4.80000000e-02  0.00000000e+00 -1.00000000e-01  2.15718700e-05  0.00000000e+00 -1.75395600e-05
 5.00000000e-02  0.00000000e+00 -1.00000000e-01  2.15228200e-05  0.00000000e+00 -1.99948800e-05
 5.20000000e-02  0.00000000e+00 -1.00000000e-01  2.05724500e-05  0.00000000e+00 -1.47185500e-05
 5.40000000e-02  0.00000000e+00 -1.00000000e-01  2.05411700e-05  0.00000000e+00 -1.18055400e-05
 5.60000000e-02  0.00000000e+00 -1.00000000e-01  2.04974900e-05  0.00000000e+00 -1.36605900e-05
 5.80000000e-02  0.00000000e+00 -1.00000000e-01  2.04558900e-05  0.00000000e+00 -1.69721800e-05
 6.00000000e-02  0.00000000e+00 -1.00000000e-01  1.98034200e-05  0.00000000e+00 -9.13773000e-06
 6.20000000e-02  0.00000000e+00 -1.00000000e-01  1.97530200e-05  0.00000000e+00 -1.02559600e-05
 6.40000000e-02  0.00000000e+00 -1.00000000e-01  1.96989400e-05  0.00000000e+00 -1.24437100e-05
 6.60000000e-02  0.00000000e+00 -1.00000000e-01  1.92295700e-05  0.00000000e+00 -7.58080600e-06
 6.80000000e-02  0.00000000e+00 -1.00000000e-01  1.91647200e-05  0.00000000e+00 -8.13324300e-06
 7.00000000e-02  0.00000000e+00 -1.00000000e-01  1.90923500e-05  0.00000000e+00 -9.50366800e-06
 7.20000000e-02  0.00000000e+00 -1.00000000e-01  1.87314200e-05  0.00000000e+00 -6.40793800e-06
 7.40000000e-02  0.00000000e+00 -1.00000000e-01  1.86455100e-05  0.00000000e+00 -6.57425200e-06
 7.60000000e-02  0.00000000e+00 -1.00000000e-01  1.85494500e-05  0.00000000e+00 -7.38008000e-06
 7.80000000e-02  0.00000000e+00 -1.00000000e-01  1.82476600e-05  0.00000000e+00 -5.34907800e-06
 8.00000000e-02  0.00000000e+00 -1.00000000e-01  1.81353000e-05  0.00000000e+00 -5.26507800e-06
 8.20000000e-02  0.00000000e+00 -1.00000000e-01  1.80112100e-05  0.00000000e+00 -5.68883800e-06
 8.40000000e-02  0.00000000e+00 -1.00000000e-01  1.77366600e-05  0.00000000e+00 -4.31319500e-06
 8.60000000e-02  0.00000000e+00 -1.00000000e-01  1.75943500e-05  0.00000000e+00 -4.07392900e-06
 8.80000000e-02  0.00000000e+00 -1.00000000e-01  1.74397400e-05  0.00000000e+00 -4.24321000e-06
 9.00000000e-02  0.00000000e+00 -1.00000000e-01  1.72757300e-05  0.00000000e+00 -4.40790800e-06
 9.20000000e-02  0.00000000e+00 -1.00000000e-01  1.69993200e-05  0.00000000e+00 -2.95331200e-06
 9.40000000e-02  0.00000000e+00 -1.00000000e-01  1.68140700e-05  0.00000000e+00 -2.95716000e-06
 9.60000000e-02  0.00000000e+00 -1.00000000e-01  1.66192900e-05  0.00000000e+00 -3.00743700e-06
 9.80000000e-02  0.00000000e+00 -1.00000000e-01  1.63404000e-05  0.00000000e+00 -1.89452000e-06
 1.00000000e-01  0.00000000e+00 -1.00000000e-01  1.61268400e-05  0.00000000e+00 -1.79545500e-06
 0.00000000e+00  0.00000000e+00 -9.90000000e-02  0.00000000e+00  0.00000000e+00 -1.36410800e-02
 2.00000000e-03  0.00000000e+00 -9.90000000e-02 -4.84798800e-04  0.00000000e+00 -1.32360600e-02
 4.00000000e-03  0.00000000e+00 -9.90000000e-02 -3.98314600e-04  0.00000000e+00 -9.47663300e-03
 6.00000000e-03  0.00000000e+00 -9.90000000e-02 -3.84883700e-04  0.00000000e+00 -8.65218900e-03
 8.00000000e-03  0.00000000e+00 -9.90000000e-02  9.38986500e-04  0.00000000e+00 -7.30127500e-03
 1.00000000e-02  0.00000000e+00 -9.90000000e-02  9.03493200e-04  0.00000000e+00 -5.52813300e-03
 1.20000000e-02  0.00000000e+00 -9.90000000e-02  7.55903300e-04  0.00000000e+00 -3.94614900e-03
 1.40000000e-02  0.00000000e+00 -9.90000000e-02  5.60180400e-04  0.00000000e+00 -3.00482400e-03
 1.60000000e-02  0.00000000e+00 -9.90000000e-02  4.65814700e-04  0.00000000e+00 -2.06310700e-03
 1.80000000e-02  0.00000000e+00 -9.90000000e-02  3.47398400e-04  0.00000000e+00 -1.33512600e-03
 2.00000000e-02  0.00000000e+00 -9.90000000e-02  2.77450200e-04  0.00000000e+00 -1.16277900e-03
 2.20000000e-02  0.00000000e+00 -9.90000000e-02  2.10600200e-04  0.00000000e+00 -7.47068800e-04
